,Member Rating.1,Opens,Bounce Type,campaign_id,Total Recipients,Successful Deliveries,Soft Bounces,Hard Bounces,Total Bounces,email_id
0,3.0,1.0,sent,11.0,336,311,25,0,25,1203
1,3.0,2.0,sent,11.0,336,311,25,0,25,1080
2,3.0,1.0,sent,11.0,336,311,25,0,25,482
3,3.0,1.0,sent,11.0,336,311,25,0,25,551
4,3.0,1.0,sent,11.0,336,311,25,0,25,1180
5,3.0,1.0,sent,11.0,336,311,25,0,25,795
6,3.0,1.0,sent,11.0,336,311,25,0,25,1570
7,3.0,1.0,sent,11.0,336,311,25,0,25,1648
8,3.0,1.0,sent,11.0,336,311,25,0,25,578
9,3.0,1.0,sent,11.0,336,311,25,0,25,10
10,3.0,1.0,sent,11.0,336,311,25,0,25,1673
11,3.0,1.0,sent,11.0,336,311,25,0,25,95
12,4.0,1.0,sent,11.0,336,311,25,0,25,1605
13,3.0,1.0,sent,11.0,336,311,25,0,25,99
14,3.0,1.0,sent,11.0,336,311,25,0,25,186
15,3.0,2.0,sent,11.0,336,311,25,0,25,1671
16,3.0,1.0,sent,11.0,336,311,25,0,25,1068
17,3.0,1.0,sent,11.0,336,311,25,0,25,1267
18,3.0,1.0,sent,11.0,336,311,25,0,25,1452
19,2.0,0.0,sent,11.0,336,311,25,0,25,1292
20,2.0,0.0,sent,11.0,336,311,25,0,25,822
21,2.0,0.0,sent,11.0,336,311,25,0,25,166
22,2.0,0.0,sent,11.0,336,311,25,0,25,1682
23,2.0,0.0,sent,11.0,336,311,25,0,25,1190
24,2.0,0.0,sent,11.0,336,311,25,0,25,1215
25,2.0,0.0,sent,11.0,336,311,25,0,25,588
26,2.0,0.0,sent,11.0,336,311,25,0,25,788
27,2.0,0.0,sent,11.0,336,311,25,0,25,1091
28,2.0,0.0,sent,11.0,336,311,25,0,25,1279
29,2.0,0.0,sent,11.0,336,311,25,0,25,362
30,2.0,0.0,sent,11.0,336,311,25,0,25,1299
31,2.0,0.0,sent,11.0,336,311,25,0,25,981
32,2.0,0.0,sent,11.0,336,311,25,0,25,131
33,2.0,0.0,sent,11.0,336,311,25,0,25,114
34,2.0,0.0,sent,11.0,336,311,25,0,25,766
35,2.0,0.0,sent,11.0,336,311,25,0,25,770
36,2.0,0.0,sent,11.0,336,311,25,0,25,1052
37,2.0,0.0,sent,11.0,336,311,25,0,25,377
38,2.0,0.0,sent,11.0,336,311,25,0,25,1036
39,2.0,0.0,sent,11.0,336,311,25,0,25,1216
40,2.0,0.0,sent,11.0,336,311,25,0,25,877
41,2.0,0.0,sent,11.0,336,311,25,0,25,1558
42,2.0,0.0,sent,11.0,336,311,25,0,25,998
43,2.0,0.0,sent,11.0,336,311,25,0,25,1461
44,2.0,0.0,sent,11.0,336,311,25,0,25,606
45,2.0,0.0,sent,11.0,336,311,25,0,25,112
46,2.0,0.0,sent,11.0,336,311,25,0,25,115
47,2.0,0.0,sent,11.0,336,311,25,0,25,876
48,2.0,0.0,sent,11.0,336,311,25,0,25,828
49,2.0,0.0,sent,11.0,336,311,25,0,25,1743
50,2.0,0.0,sent,11.0,336,311,25,0,25,251
51,2.0,0.0,sent,11.0,336,311,25,0,25,1421
52,2.0,0.0,sent,11.0,336,311,25,0,25,681
53,2.0,0.0,sent,11.0,336,311,25,0,25,721
54,2.0,0.0,sent,11.0,336,311,25,0,25,594
55,2.0,0.0,sent,11.0,336,311,25,0,25,884
56,2.0,0.0,sent,11.0,336,311,25,0,25,1191
57,2.0,0.0,sent,11.0,336,311,25,0,25,69
58,2.0,0.0,sent,11.0,336,311,25,0,25,1513
59,2.0,0.0,sent,11.0,336,311,25,0,25,78
60,2.0,0.0,sent,11.0,336,311,25,0,25,1580
