,Member Rating.1,Opens,Bounce Type,campaign_id,Total Recipients,Successful Deliveries,Soft Bounces,Hard Bounces,Total Bounces,email_id
99,3.0,5.0,sent,2.0,1760,1723,31,6,37,187
100,3.0,2.0,sent,2.0,1760,1723,31,6,37,1024
101,4.0,1.0,sent,2.0,1760,1723,31,6,37,1590
102,4.0,1.0,sent,2.0,1760,1723,31,6,37,647
103,3.0,3.0,sent,2.0,1760,1723,31,6,37,777
104,3.0,1.0,sent,2.0,1760,1723,31,6,37,499
105,2.0,1.0,sent,2.0,1760,1723,31,6,37,448
106,4.0,1.0,sent,2.0,1760,1723,31,6,37,489
107,2.0,2.0,sent,2.0,1760,1723,31,6,37,60
108,3.0,1.0,sent,2.0,1760,1723,31,6,37,1272
109,3.0,1.0,sent,2.0,1760,1723,31,6,37,1066
110,3.0,1.0,sent,2.0,1760,1723,31,6,37,822
111,4.0,1.0,sent,2.0,1760,1723,31,6,37,1686
112,2.0,1.0,sent,2.0,1760,1723,31,6,37,239
113,3.0,1.0,sent,2.0,1760,1723,31,6,37,587
114,2.0,1.0,sent,2.0,1760,1723,31,6,37,932
115,3.0,6.0,sent,2.0,1760,1723,31,6,37,827
116,4.0,1.0,sent,2.0,1760,1723,31,6,37,1299
117,2.0,1.0,sent,2.0,1760,1723,31,6,37,1384
118,4.0,1.0,sent,2.0,1760,1723,31,6,37,1070
119,3.0,2.0,sent,2.0,1760,1723,31,6,37,376
120,3.0,1.0,sent,2.0,1760,1723,31,6,37,1149
121,2.0,1.0,sent,2.0,1760,1723,31,6,37,152
122,4.0,1.0,sent,2.0,1760,1723,31,6,37,688
123,2.0,1.0,sent,2.0,1760,1723,31,6,37,176
124,3.0,1.0,sent,2.0,1760,1723,31,6,37,215
125,4.0,1.0,sent,2.0,1760,1723,31,6,37,295
126,2.0,1.0,sent,2.0,1760,1723,31,6,37,284
127,2.0,2.0,sent,2.0,1760,1723,31,6,37,979
128,4.0,1.0,sent,2.0,1760,1723,31,6,37,196
129,4.0,1.0,sent,2.0,1760,1723,31,6,37,123
130,3.0,1.0,sent,2.0,1760,1723,31,6,37,579
131,2.0,1.0,sent,2.0,1760,1723,31,6,37,1388
132,2.0,1.0,sent,2.0,1760,1723,31,6,37,1226
133,4.0,1.0,sent,2.0,1760,1723,31,6,37,719
134,3.0,1.0,sent,2.0,1760,1723,31,6,37,558
135,4.0,1.0,sent,2.0,1760,1723,31,6,37,219
136,3.0,1.0,sent,2.0,1760,1723,31,6,37,561
137,3.0,2.0,sent,2.0,1760,1723,31,6,37,832
138,2.0,1.0,sent,2.0,1760,1723,31,6,37,1589
139,2.0,1.0,sent,2.0,1760,1723,31,6,37,556
140,3.0,1.0,sent,2.0,1760,1723,31,6,37,1452
141,3.0,1.0,sent,2.0,1760,1723,31,6,37,775
142,2.0,1.0,sent,2.0,1760,1723,31,6,37,1648
143,2.0,1.0,sent,2.0,1760,1723,31,6,37,1169
144,3.0,1.0,sent,2.0,1760,1723,31,6,37,213
145,3.0,1.0,sent,2.0,1760,1723,31,6,37,704
146,3.0,1.0,sent,2.0,1760,1723,31,6,37,542
147,2.0,1.0,sent,2.0,1760,1723,31,6,37,1583
148,3.0,1.0,sent,2.0,1760,1723,31,6,37,854
149,2.0,1.0,sent,2.0,1760,1723,31,6,37,447
150,3.0,1.0,sent,2.0,1760,1723,31,6,37,1204
151,4.0,1.0,sent,2.0,1760,1723,31,6,37,445
152,4.0,1.0,sent,2.0,1760,1723,31,6,37,1545
153,4.0,1.0,sent,2.0,1760,1723,31,6,37,244
154,3.0,1.0,sent,2.0,1760,1723,31,6,37,963
155,2.0,1.0,sent,2.0,1760,1723,31,6,37,1189
156,4.0,1.0,sent,2.0,1760,1723,31,6,37,1053
157,3.0,1.0,sent,2.0,1760,1723,31,6,37,1522
158,2.0,3.0,sent,2.0,1760,1723,31,6,37,80
159,4.0,1.0,sent,2.0,1760,1723,31,6,37,142
160,4.0,1.0,sent,2.0,1760,1723,31,6,37,923
161,2.0,4.0,sent,2.0,1760,1723,31,6,37,438
162,2.0,1.0,sent,2.0,1760,1723,31,6,37,779
163,3.0,1.0,sent,2.0,1760,1723,31,6,37,1649
164,2.0,1.0,sent,2.0,1760,1723,31,6,37,386
165,4.0,1.0,sent,2.0,1760,1723,31,6,37,846
166,3.0,1.0,sent,2.0,1760,1723,31,6,37,536
167,3.0,1.0,sent,2.0,1760,1723,31,6,37,1223
168,3.0,1.0,sent,2.0,1760,1723,31,6,37,1102
169,2.0,1.0,sent,2.0,1760,1723,31,6,37,1228
170,3.0,4.0,sent,2.0,1760,1723,31,6,37,1605
171,2.0,0.0,sent,2.0,1760,1723,31,6,37,976
172,2.0,0.0,sent,2.0,1760,1723,31,6,37,361
173,2.0,0.0,sent,2.0,1760,1723,31,6,37,310
174,2.0,0.0,sent,2.0,1760,1723,31,6,37,1498
175,2.0,0.0,sent,2.0,1760,1723,31,6,37,1240
176,2.0,0.0,sent,2.0,1760,1723,31,6,37,1394
177,2.0,0.0,sent,2.0,1760,1723,31,6,37,1190
178,2.0,0.0,sent,2.0,1760,1723,31,6,37,430
179,1.0,0.0,sent,2.0,1760,1723,31,6,37,233
180,2.0,0.0,sent,2.0,1760,1723,31,6,37,681
181,2.0,0.0,sent,2.0,1760,1723,31,6,37,1101
182,2.0,0.0,sent,2.0,1760,1723,31,6,37,670
183,2.0,0.0,sent,2.0,1760,1723,31,6,37,1291
184,3.0,0.0,sent,2.0,1760,1723,31,6,37,1341
185,2.0,0.0,sent,2.0,1760,1723,31,6,37,228
186,2.0,0.0,sent,2.0,1760,1723,31,6,37,594
187,2.0,0.0,sent,2.0,1760,1723,31,6,37,1214
