,Member Rating.1,Opens,Bounce Type,campaign_id,Total Recipients,Successful Deliveries,Soft Bounces,Hard Bounces,Total Bounces,email_id
0,4.0,1.0,sent,5.0,1648,1594,9,45,54,1579
1,2.0,1.0,sent,5.0,1648,1594,9,45,54,1451
2,3.0,1.0,sent,5.0,1648,1594,9,45,54,982
3,2.0,1.0,sent,5.0,1648,1594,9,45,54,365
4,3.0,1.0,sent,5.0,1648,1594,9,45,54,1203
5,2.0,2.0,sent,5.0,1648,1594,9,45,54,859
6,2.0,1.0,sent,5.0,1648,1594,9,45,54,875
7,4.0,1.0,sent,5.0,1648,1594,9,45,54,729
8,4.0,1.0,sent,5.0,1648,1594,9,45,54,1541
9,2.0,1.0,sent,5.0,1648,1594,9,45,54,1273
10,2.0,1.0,sent,5.0,1648,1594,9,45,54,286
11,2.0,1.0,sent,5.0,1648,1594,9,45,54,1153
12,2.0,1.0,sent,5.0,1648,1594,9,45,54,747
13,2.0,1.0,sent,5.0,1648,1594,9,45,54,1523
14,3.0,1.0,sent,5.0,1648,1594,9,45,54,160
15,4.0,2.0,sent,5.0,1648,1594,9,45,54,354
16,3.0,1.0,sent,5.0,1648,1594,9,45,54,1007
17,2.0,2.0,sent,5.0,1648,1594,9,45,54,431
18,3.0,1.0,sent,5.0,1648,1594,9,45,54,1306
19,3.0,1.0,sent,5.0,1648,1594,9,45,54,625
20,2.0,3.0,sent,5.0,1648,1594,9,45,54,59
21,3.0,1.0,sent,5.0,1648,1594,9,45,54,857
22,4.0,1.0,sent,5.0,1648,1594,9,45,54,88
23,4.0,1.0,sent,5.0,1648,1594,9,45,54,1138
24,2.0,1.0,sent,5.0,1648,1594,9,45,54,476
25,2.0,1.0,sent,5.0,1648,1594,9,45,54,343
26,2.0,1.0,sent,5.0,1648,1594,9,45,54,925
27,2.0,1.0,sent,5.0,1648,1594,9,45,54,129
28,3.0,1.0,sent,5.0,1648,1594,9,45,54,1282
29,2.0,1.0,sent,5.0,1648,1594,9,45,54,722
30,2.0,1.0,sent,5.0,1648,1594,9,45,54,334
31,2.0,5.0,sent,5.0,1648,1594,9,45,54,358
32,4.0,1.0,sent,5.0,1648,1594,9,45,54,235
33,2.0,1.0,sent,5.0,1648,1594,9,45,54,49
34,2.0,1.0,sent,5.0,1648,1594,9,45,54,29
35,2.0,1.0,sent,5.0,1648,1594,9,45,54,524
36,2.0,1.0,sent,5.0,1648,1594,9,45,54,966
37,2.0,1.0,sent,5.0,1648,1594,9,45,54,1281
38,2.0,1.0,sent,5.0,1648,1594,9,45,54,116
39,2.0,4.0,sent,5.0,1648,1594,9,45,54,1624
40,3.0,1.0,sent,5.0,1648,1594,9,45,54,1598
41,2.0,1.0,sent,5.0,1648,1594,9,45,54,1117
42,2.0,1.0,sent,5.0,1648,1594,9,45,54,1647
43,2.0,1.0,sent,5.0,1648,1594,9,45,54,1098
44,2.0,1.0,sent,5.0,1648,1594,9,45,54,858
45,2.0,1.0,sent,5.0,1648,1594,9,45,54,1437
46,4.0,2.0,sent,5.0,1648,1594,9,45,54,1631
47,2.0,1.0,sent,5.0,1648,1594,9,45,54,1430
48,3.0,1.0,sent,5.0,1648,1594,9,45,54,367
49,2.0,1.0,sent,5.0,1648,1594,9,45,54,1535
50,3.0,1.0,sent,5.0,1648,1594,9,45,54,409
51,3.0,2.0,sent,5.0,1648,1594,9,45,54,1497
52,4.0,1.0,sent,5.0,1648,1594,9,45,54,1527
53,4.0,1.0,sent,5.0,1648,1594,9,45,54,1222
54,3.0,1.0,sent,5.0,1648,1594,9,45,54,242
55,4.0,3.0,sent,5.0,1648,1594,9,45,54,522
56,4.0,1.0,sent,5.0,1648,1594,9,45,54,1460
57,4.0,1.0,sent,5.0,1648,1594,9,45,54,42
58,2.0,1.0,sent,5.0,1648,1594,9,45,54,999
59,3.0,1.0,sent,5.0,1648,1594,9,45,54,304
60,3.0,1.0,sent,5.0,1648,1594,9,45,54,998
61,2.0,1.0,sent,5.0,1648,1594,9,45,54,537
62,3.0,1.0,sent,5.0,1648,1594,9,45,54,369
63,4.0,2.0,sent,5.0,1648,1594,9,45,54,441
64,2.0,1.0,sent,5.0,1648,1594,9,45,54,1093
65,2.0,1.0,sent,5.0,1648,1594,9,45,54,1160
66,4.0,1.0,sent,5.0,1648,1594,9,45,54,500
67,3.0,1.0,sent,5.0,1648,1594,9,45,54,567
68,3.0,2.0,sent,5.0,1648,1594,9,45,54,1085
69,4.0,1.0,sent,5.0,1648,1594,9,45,54,647
70,2.0,1.0,sent,5.0,1648,1594,9,45,54,1342
71,3.0,1.0,sent,5.0,1648,1594,9,45,54,1618
72,4.0,1.0,sent,5.0,1648,1594,9,45,54,489
73,2.0,1.0,sent,5.0,1648,1594,9,45,54,888
74,3.0,1.0,sent,5.0,1648,1594,9,45,54,822
75,4.0,1.0,sent,5.0,1648,1594,9,45,54,377
76,4.0,2.0,sent,5.0,1648,1594,9,45,54,1070
77,4.0,1.0,sent,5.0,1648,1594,9,45,54,688
78,2.0,1.0,sent,5.0,1648,1594,9,45,54,631
79,4.0,1.0,sent,5.0,1648,1594,9,45,54,295
80,4.0,1.0,sent,5.0,1648,1594,9,45,54,902
81,4.0,1.0,sent,5.0,1648,1594,9,45,54,196
82,4.0,3.0,sent,5.0,1648,1594,9,45,54,123
83,3.0,1.0,sent,5.0,1648,1594,9,45,54,851
84,3.0,1.0,sent,5.0,1648,1594,9,45,54,1013
85,4.0,1.0,sent,5.0,1648,1594,9,45,54,719
86,3.0,1.0,sent,5.0,1648,1594,9,45,54,558
87,3.0,1.0,sent,5.0,1648,1594,9,45,54,832
88,3.0,1.0,sent,5.0,1648,1594,9,45,54,1452
89,3.0,1.0,sent,5.0,1648,1594,9,45,54,881
90,2.0,3.0,sent,5.0,1648,1594,9,45,54,1468
91,3.0,1.0,sent,5.0,1648,1594,9,45,54,1402
