Email Campaign Report
"Title:","Free Hugs (copy 01)"
"Subject Line:","10 year anniversary of FREE HUGS NYC - Come out and play in the rain!"
"Delivery Date/Time:","Fri, Mar 22, 2019 8:15 am"

"Overall Stats"
"Total Recipients:","1,648"
"Successful Deliveries:","1,594"
"Bounces:","54 (3.3%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","126 (7.9%)"
"Total Opens:","164"
"Last Open Date:","5/4/19 12:59PM"
"Recipients Who Clicked:","3 (0.2%)"
"Total Clicks:","3"
"Last Click Date:","3/22/19 1:47PM"
"Total Unsubs:","10"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"http://freehugsNYC.com?mc_cid=bdfcb490de&mc_eid=[UNIQID]","1","0"
"https://www.facebook.com/events/2221688817883392/?mc_cid=bdfcb490de&mc_eid=[UNIQID]","1","1"
"https://www.facebook.com/LightSourceUniverse/?mc_cid=bdfcb490de&mc_eid=[UNIQID]","1","1"
"https://www.instagram.com/lightsourceuniverse/?mc_cid=bdfcb490de&mc_eid=[UNIQID]","0","0"
"https://www.livescience.com/35219-11-effects-of-oxytocin.html?mc_cid=bdfcb490de&mc_eid=[UNIQID]","0","0"
"https://www.healthline.com/health/mental-health/serotonin?mc_cid=bdfcb490de&mc_eid=[UNIQID]#mental-health","0","0"
"https://www.healthline.com/health/high-cortisol-symptoms?mc_cid=bdfcb490de&mc_eid=[UNIQID]","0","0"
"https://lightsourceuniverse.org/take-part/?mc_cid=bdfcb490de&mc_eid=[UNIQID]","0","0"
"https://www.healthline.com/health/dopamine-vs-serotonin?mc_cid=bdfcb490de&mc_eid=[UNIQID]","0","0"
"https://lightsourceuniverse.org/take-part/consent-culture-campaign/?mc_cid=bdfcb490de&mc_eid=[UNIQID]","0","0"
